Timestep	Average_tilde_q6
1402	0.738625
1403	0.739702
1404	0.747169
1405	0.739255
1406	0.749197
1407	0.755228
1408	0.750599
1409	0.744664
1410	0.743719
1411	0.747692
1412	0.743419
1413	0.748200
1414	0.751439
1415	0.745819
1416	0.730719
1417	0.746860
1418	0.743162
1419	0.742803
1420	0.745567
1421	0.744215
1422	0.751600
1423	0.745246
1424	0.738955
1425	0.743608
1426	0.744959
1427	0.748681
1428	0.739716
1429	0.739555
1430	0.738516
1431	0.738271
1432	0.745287
1433	0.746617
1434	0.742757
1435	0.745283
1436	0.740537
1437	0.743963
1438	0.739154
1439	0.745571
1440	0.748329
1441	0.744400
1442	0.759232
1443	0.748930
1444	0.736559
1445	0.737810
1446	0.743889
1447	0.743077
1448	0.748815
1449	0.748515
1450	0.737551
1451	0.749464
1452	0.742676
1453	0.739879
1454	0.737905
1455	0.742104
1456	0.738853
1457	0.744155
1458	0.751016
1459	0.746556
1460	0.750391
1461	0.755940
1462	0.744090
1463	0.732893
1464	0.743070
1465	0.742938
1466	0.748928
1467	0.755016
1468	0.743493
1469	0.744753
1470	0.747528
1471	0.754218
1472	0.748922
1473	0.743389
1474	0.747453
1475	0.750860
1476	0.737123
1477	0.741931
1478	0.746039
1479	0.739972
1480	0.737472
1481	0.742723
1482	0.756162
1483	0.750260
1484	0.741089
1485	0.743202
1486	0.747987
1487	0.743319
1488	0.744721
1489	0.751142
1490	0.756864
1491	0.739565
1492	0.742939
1493	0.747694
1494	0.741659
1495	0.749941
1496	0.754292
1497	0.753299
1498	0.746240
1499	0.746847
1500	0.736141
1501	0.734646
1502	0.737016
1503	0.739955
1504	0.745346
1505	0.744683
1506	0.740013
1507	0.742204
1508	0.743392
1509	0.748306
1510	0.747848
1511	0.743672
1512	0.746070
1513	0.742698
1514	0.741027
1515	0.743886
1516	0.741779
1517	0.745348
1518	0.742600
1519	0.749510
1520	0.751475
1521	0.753099
1522	0.748640
1523	0.742410
1524	0.746395
1525	0.744899
1526	0.736285
1527	0.753094
1528	0.750360
1529	0.744768
1530	0.740367
1531	0.746714
1532	0.747489
1533	0.746593
1534	0.752835
1535	0.754027
1536	0.754496
1537	0.756067
1538	0.759154
1539	0.749950
1540	0.747456
1541	0.752570
1542	0.745577
1543	0.753082
1544	0.760909
1545	0.760671
1546	0.763296
1547	0.753214
1548	0.757200
1549	0.753792
1550	0.746879
1551	0.752015
1552	0.742827
1553	0.746280
1554	0.759005
1555	0.754178
1556	0.752351
1557	0.753450
1558	0.752871
1559	0.748915
1560	0.751261
1561	0.766899
1562	0.762693
1563	0.751723
1564	0.753243
1565	0.746969
1566	0.749203
1567	0.748917
1568	0.751925
1569	0.759215
1570	0.753820
1571	0.750036
1572	0.742850
1573	0.740664
1574	0.758721
1575	0.757399
1576	0.750240
1577	0.762611
1578	0.760795
1579	0.754225
1580	0.755157
1581	0.747962
1582	0.751584
1583	0.756428
1584	0.753336
1585	0.755779
1586	0.754476
1587	0.753519
1588	0.744598
1589	0.741990
1590	0.751475
1591	0.746361
1592	0.746227
1593	0.755652
1594	0.756584
1595	0.755622
1596	0.753254
1597	0.755758
1598	0.746787
1599	0.745740
1600	0.752087
1601	0.751119
1602	0.756365
1603	0.745954
1604	0.746762
1605	0.746919
1606	0.737022
1607	0.744824
1608	0.759836
1609	0.754254
1610	0.751378
1611	0.752694
1612	0.743659
1613	0.746089
1614	0.748482
1615	0.746626
1616	0.755972
1617	0.747269
1618	0.742548
1619	0.745857
1620	0.743998
1621	0.751504
1622	0.759081
1623	0.750909
1624	0.747061
1625	0.734551
1626	0.740126
1627	0.740336
1628	0.751924
1629	0.757751
1630	0.746911
1631	0.752585
1632	0.748704
1633	0.734935
1634	0.746217
1635	0.751504
1636	0.752769
1637	0.755952
1638	0.746083
1639	0.744850
1640	0.746773
1641	0.741220
1642	0.752062
1643	0.754739
1644	0.748456
1645	0.754430
1646	0.746810
1647	0.737147
1648	0.737584
1649	0.752930
1650	0.748278
1651	0.744044
1652	0.752436
1653	0.753789
1654	0.745590
1655	0.753168
1656	0.741745
1657	0.740012
1658	0.755744
1659	0.752937
1660	0.757702
1661	0.751856
1662	0.748020
1663	0.753706
1664	0.745898
1665	0.746315
1666	0.747261
1667	0.756287
1668	0.753426
1669	0.739403
1670	0.740992
1671	0.753380
1672	0.754139
1673	0.756934
1674	0.753411
1675	0.751070
1676	0.749802
1677	0.746902
1678	0.752129
1679	0.753267
1680	0.744862
1681	0.753103
1682	0.756465
1683	0.760616
1684	0.754954
1685	0.741097
1686	0.733638
1687	0.741223
1688	0.748226
1689	0.744613
1690	0.753044
1691	0.759526
1692	0.747487
1693	0.750047
1694	0.753480
1695	0.747258
1696	0.751797
1697	0.757320
1698	0.749285
1699	0.752958
1700	0.750785
1701	0.746980
1702	0.748274
1703	0.737328
1704	0.748753
1705	0.762021
1706	0.751874
1707	0.751850
1708	0.756120
1709	0.754273
1710	0.746462
1711	0.758695
1712	0.759497
1713	0.744308
1714	0.745178
1715	0.748470
1716	0.736495
1717	0.738990
1718	0.743073
1719	0.744179
1720	0.753174
1721	0.756163
1722	0.749156
1723	0.750977
1724	0.740581
1725	0.739982
1726	0.741571
1727	0.758656
1728	0.763324
1729	0.750441
1730	0.750059
1731	0.753663
1732	0.751214
1733	0.738211
1734	0.749097
1735	0.746460
1736	0.740074
1737	0.747543
1738	0.749766
1739	0.758653
1740	0.756460
1741	0.759002
1742	0.749359
1743	0.743537
1744	0.750571
1745	0.750241
1746	0.752039
1747	0.754740
1748	0.754613
1749	0.751053
1750	0.748365
1751	0.753274
1752	0.751725
1753	0.751856
1754	0.763635
1755	0.753041
1756	0.747570
1757	0.750958
1758	0.749047
1759	0.747027
1760	0.747266
1761	0.761484
1762	0.746692
1763	0.752655
1764	0.748478
1765	0.744453
1766	0.756600
1767	0.746478
1768	0.747004
1769	0.754782
1770	0.748440
1771	0.756376
1772	0.755458
1773	0.755739
1774	0.754039
1775	0.743200
1776	0.750164
1777	0.744100
1778	0.749735
1779	0.765163
1780	0.754643
1781	0.742904
1782	0.761869
1783	0.750170
1784	0.750167
1785	0.760232
1786	0.746890
1787	0.749846
1788	0.760040
1789	0.748772
1790	0.745615
1791	0.745186
1792	0.737870
1793	0.742936
